Status,Region,Country,Name,Cat DDO amount (US$ millions),Activated for COVID-19,Supported by GFDRR,GFDRR’s support (US$ thousands),Link
Active,Africa,Cabo Verde  ,Cabo Verde  ,10,Activated for COVID-19,Yes,"$175,000 ",https://projects.worldbank.org/en/projects-operations/project-detail/P160628?lang=en
Active,Africa,Kenya,Kenya,200,Activated for COVID-19,Yes,"$400,000 ",https://projects.worldbank.org/en/projects-operations/project-detail/P161562
Active,Africa,Madagascar,Madagascar,50,Not activated for COVID-19,Yes,"$850,000 ",https://projects.worldbank.org/en/projects-operations/project-detail/P167941
Active,Africa,Malawi,Malawi,70,Activated for COVID-19,Yes,"$500,000 ",https://projects.worldbank.org/en/projects-operations/project-detail/P165056
Active,Africa,Seychelles,Seychelles,7,Activated for COVID-19,Yes,"$500,000 ",https://projects.worldbank.org/en/projects-operations/project-detail/P148861
Closed,East Asia and Pacific,Philippines,Philippines - I,500,Closed,No,,https://projects.worldbank.org/en/projects-operations/project-detail/P125943
Closed,East Asia and Pacific,Philippines,Philippines - II,500,Closed,Yes,"$500,000 ",https://projects.worldbank.org/en/projects-operations/project-detail/P155656
Active,East Asia and Pacific,Samoa,Samoa,6,Activated for COVID-19,Yes,"$200,000 ",https://projects.worldbank.org/en/projects-operations/project-detail/P165928
Active,East Asia and Pacific,Tuvalu,Tuvalu,13.5,Not activated for COVID-19,Yes,"$200,000 ",https://projects.worldbank.org/en/projects-operations/project-detail/P170558
Active,East Asia and Pacific,Vanuatu,Vanuatu,10,Activated for COVID-19,Yes,"$200,000 ",https://projects.worldbank.org/en/projects-operations/project-detail/P168749
Active,Europe and Central Asia,Romania,Romania,493,Activated for COVID-19,Yes,"$450,000 ",http://documents.worldbank.org/curated/en/120621530243038191/Romania-Building-Disaster-and-Climate-Resilience-Program-Project
Active,Europe and Central Asia,Serbia ,Serbia ,70,Activated for COVID-19,Yes,"$2,100,000 ",http://documents.worldbank.org/curated/en/725491539946111469/Disclosable-Version-of-the-ISR-Disaster-Risk-Management-DPL-CAT-DDO-P157489-Sequence-No-03
Closed,Latin America and the Caribbean,Colombia,Colombia - I,150,Closed,No,,https://projects.worldbank.org/en/projects-operations/project-detail/P113084
Active,Latin America and the Caribbean,Colombia,Colombia - II,250,Activated for COVID-19,Yes,"$350,000 ",https://projects.worldbank.org/en/projects-operations/project-detail/P126583
Active,Latin America and the Caribbean,Dominican Republic,Dominican Republic,150,Activated for COVID-19,Yes,"$2,145,000 ",https://projects.worldbank.org/en/projects-operations/project-detail/P159351
Closed,Latin America and the Caribbean,El Salvador,El Salvador,50,Closed,No,,https://projects.worldbank.org/en/projects-operations/project-detail/P122640
Active,Latin America and the Caribbean,Grenada,Grenada,20,Activated for COVID-19,Yes,"$100,000 ",https://projects.worldbank.org/en/projects-operations/project-detail/P171465
Closed,Latin America and the Caribbean,Guatemala,Guatemala - I,50,Closed,No,,https://projects.worldbank.org/en/projects-operations/project-detail/P112544
Active,Latin America and the Caribbean,Guatemala,Guatemala - II,200,Not activated for COVID-19,Yes,,https://projects.worldbank.org/en/projects-operations/project-detail/P159710
Active,Latin America and the Caribbean,Honduras,Honduras,119,Activated for COVID-19,Yes,"$200,000 ",https://projects.worldbank.org/en/projects-operations/project-detail/P172567
Active,Latin America and the Caribbean,Panama,Panama,41,Activated for COVID-19,No,,http://documents.worldbank.org/curated/en/205481584755605518/Panama-Disaster-Risk-Management-Development-Policy-Loan-Catastrophe-Deferred-Drawdown-Option-CAT-DDO-Restructuring
Closed,Latin America and the Caribbean,Peru,Peru - I,100,Closed,Yes,"$100,000 ",https://projects.worldbank.org/en/projects-operations/project-detail/P120860
Closed,Latin America and the Caribbean,Peru,Peru - II,70,Closed,No,,https://projects.worldbank.org/en/projects-operations/project-detail/P149831
Closed,Latin America and the Caribbean,Costa Rica,Costa Rica,65,Closed,No,,https://projects.worldbank.org/en/projects-operations/project-detail/P111926
Active,Middle East and North Africa,Morocco,Morocco,275,Activated for COVID-19,Yes,"$607,000 ",http://documents.worldbank.org/curated/en/853061555762567306/Appraisal-Program-Information-Document-PID-Morocco-Disaster-Risk-Management-Development-Policy-Loan-with-a-Catastrophe-Deferred-Drawdown-Option-P168580
Active,South Asia,Maldives,Maldives,10,Activated for COVID-19,No,,https://projects.worldbank.org/en/projects-operations/project-detail/P163939
Active,South Asia,Nepal,Nepal,50,Not activated for COVID-19,No,,https://projects.worldbank.org/en/projects-operations/project-detail/P166788
Closed,South Asia,Sri Lanka,Sri Lanka,102,Closed,No,,https://projects.worldbank.org/en/projects-operations/project-detail/P147454