countries,females,males
Albania,24.2,19.8
Andorra,25.3,25.9
Armenia,23,17.1
Austria,18.3,21.9
Azerbaijan,23.6,15.8
Belarus,26.3,22.1
Belgium,21,23.1
Bosnia and Herzegovina,18.4,17.1
Bulgaria,24.3,25.5
Croatia,24.5,24.1
Cyprus,21.6,21.9
Czech Republic,25.4,26.4
Denmark,17,22.3
Estonia,21.8,20.3
Finland,20.6,23.7
France,21.1,22
Georgia,23.8,19.2
Germany,20.4,24.2
Greece,25.4,24.2
Hungary,24.6,28.2
Iceland,19.4,24.2
Ireland,25.5,25.1
Israel,26.2,25.9
Italy,19.5,20.1
Kazakhstan,22.7,18.9
Kyrgyzstan,18.6,14
Latvia,25.1,21.6
Lithuania,27.8,24.2
Luxembourg,20.7,24.5
Malta,28.5,29.2
Montenegro,23.1,23.3
Netherlands,20,20.8
Norway,22.5,23.6
Poland,22.2,23.7
Portugal,21.2,20.3
Republic of Moldova,21.1,16.2
Romania,21.6,23.4
Russian Federation,26.9,18.1
Serbia,21.8,21.1
Slovakia,19.9,21
Slovenia,21,19.4
Spain,22.8,24.6
Sweden,18.1,23.1
Switzerland,16.9,22.2
Tajikistan,16.7,11.6
Republic of Macedonia,22.1,22.6
Turkey,39.2,24.4
Turkmenistan,20.9,15.9
Ukraine,25.7,22
United Kingdom,28.6,26.9
Uzbekistan,19,13.8